"Nombre d'incendies suivant les critères de sélection : 2682"
"Critères de sélection =>";"Date de première alerte, de : 2023-01-01 00:00:00";"Date de première alerte, jusqu'à : 2023-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2023;1278;"13";"13041";"Gardanne";"2023-01-31 20:54:00";100;100;;;;;;;;;"Estimées";"1";;"Non";;;;""
2023;21386;"83";"83063";"La Garde-Freinet";"2023-02-01 06:23:00";7000;7000;0;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";0;0;0;"Données partielles ou non valides"
2023;21387;"83";"83063";"La Garde-Freinet";"2023-02-01 06:54:00";4000;4000;0;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";0;0;0;"Données partielles ou non valides"
2023;86;"06";"06157";"Vence";"2023-02-01 11:34:00";180900;0;180900;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2023;1703;"04";"04112";"Manosque";"2023-02-01 13:38:00";900;0;900;0;0;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2023;13930;"66";"66211";"Tordères";"2023-02-01 13:53:00";650;650;0;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2023;13933;"66";"66119";"Mosset";"2023-02-01 15:31:00";500;500;0;0;0;0;;;;;"Estimées";;;"Non";;;;""
2023;3689;"11";"11188";"La Palme";"2023-02-02 13:13:00";8000;0;8000;0;0;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2023;21389;"83";"83124";"Seillans";"2023-02-02 13:47:00";4000;4000;0;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";0;0;0;"Données partielles ou non valides"
2023;3690;"11";"11285";"Peyriac-de-Mer";"2023-02-02 14:47:00";70020;0;70020;0;0;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2023;1704;"04";"04099";"Lambruisse";"2023-02-02 15:01:00";629900;326400;0;303500;0;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2023;335;"34";"34313";"Tressan";"2023-02-02 15:37:00";59816;0;59816;0;0;0;;;;;"Mesurées";"1";"Involontaire (travaux)";"Non";;;;""
2023;13937;"66";"66111";"Montalba-le-Château";"2023-02-02 16:13:00";19303;13400;5900;0;0;3;;;;;"Mesurées";;"Malveillance";"Non";;;;""
2023;3691;"11";"11170";"Gruissan";"2023-02-02 17:36:00";1;0;1;0;0;0;;;;;"Mesurées";;"Involontaire (particulier)";"Non";;;;""
2023;21392;"83";"83125";"Seillons-Source-d'Argens";"2023-02-02 17:57:00";5;0;5;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";0;0;0;"Données partielles ou non valides"
2023;21393;"83";"83038";"Châteaudouble";"2023-02-02 19:52:00";10;0;10;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;"Données partielles ou non valides"
2023;21394;"83";"83064";"Garéoult";"2023-02-02 22:25:00";10;0;10;0;0;0;;;;;"Estimées";;;"Non";0;0;0;"Données partielles ou non valides"
2023;6334;"30";"30164";"Méjannes-le-Clap";"2023-02-03 13:29:00";1000;1000;0;0;0;0;;;;;"Estimées";;;"Non";;;;""
2023;1280;"13";"13114";"Ventabren";"2023-02-03 13:57:00";200;200;;;;;;;;;"Estimées";"1";;"Non";;;;""
